DIRECTORY LIST,,,,,,,,,,,,,,,TECHNICAL SHEET,,,,,,
CLIENT : BVLGARI HOTEL BEIJING - BATHROOM,,,,,,,,,,,,,,,Update by : 08/09/2023,,,,,,
,,,,,,,,,,,,,,,,,,,,,
NO,PHOTO,REFERENCE COLOUR,CODE,CATEGORY,"INFO/
SIZE",MATERIAL,COLOUR,TEXTURE,FINAL SIZE (cm),QTY,UNIT,"UNIT PRICE
2023",TOTAL PRICE,NOTES,CLAY,DEC,ENGOBE,GLAZE,FIRING,LUSTRE,"STAMP / SPECIAL TOOL / 
NON CERAMIC COMPONENT"
1,,,New,Flower Holder,Model 1,Porcelain,"Shiny Reseda Green, Gold Acquoso dec.",Smooth,"Approx.
Diam. 11.7 x H 9",0,Pcs, $57.90 ,,,"CL08-001
(0.90 kg)",û,û,"GS08-197
SX17-001
(logo)",Oxidation,"SX14-005
(0.76 gr)",
2,,,New,Flower Holder,Model 2,Porcelain,"Shiny Reseda Green, Gold Acquoso dec.",Smooth,"Approx.
Diam. 14.8 x H 14.4",0,Pcs, $115.80 ,,,"CL08-001
(2 kg)",û,û,"GS08-197
SX17-001
(logo)",Oxidation,"SX14-005
(1.35 gr)",
3,,,GN-986,Soap Dish,Unique Size,Porcelain,"Shiny Reseda Green, Gold Acquoso dec.",Smooth,Diam. 10.7 x H 3.3,0,Pcs, $25.50 ,,,"CL08-001
(0.55 kg)",ü,û,"GS08-197
SX17-001
(logo)",Oxidation,"SX14-005
(0.61 gr)",
4,,,New,Square Tray,Unique Size,Porcelain,"Shiny Reseda Green, Gold Acquoso dec.",Smooth,"Approx.
W 17.1 x L 17.2 x H 1",0,Pcs, $36.40 ,,,"CL08-001
(kg)",ü,û,"GS08-197
SX17-001
(logo)",Oxidation,"SX14-005
(0.66 gr)",
5,,,GO-079,Rectangle Tray,Model 1,Porcelain,"Shiny Reseda Green, Gold Acquoso dec.",Smooth,W 15.3 x L 25.2 x H 1,0,Pcs, $40.70 ,,,"CL08-001
(kg)",ü,û,"GS08-197
SX17-001
(logo)",Oxidation,"SX14-005
(0.64 gr)",
